City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kodinsk,58.6881,99.1844,74.73,47,100,3.89,RU,2021-08-05 02:28:10
68,Mahebourg,-20.4081,57.7,70.09,56,75,11.5,MU,2021-08-05 02:24:20
69,Charters Towers,-20.1,146.2667,69.31,21,5,14.38,AU,2021-08-05 02:28:10
70,Zhangye,38.9342,100.4517,80.71,20,3,5.41,CN,2021-08-05 02:28:10
71,Ribeira Grande,38.5167,-28.7,72.54,89,0,5.93,PT,2021-08-05 02:28:11
72,Leshukonskoye,64.8989,45.7622,50.31,75,96,8.05,RU,2021-08-05 02:28:11
73,La Grande,45.3246,-118.0877,91.58,33,0,8.9,US,2021-08-05 02:28:11
74,Rio Grande,-32.035,-52.0986,52.95,94,51,7.81,BR,2021-08-05 02:26:49
75,Tateyama,34.9833,139.8667,89.62,73,1,5.12,JP,2021-08-05 02:28:11
76,Solwezi,-12.1688,26.3894,51.57,46,0,4.92,ZM,2021-08-05 02:28:12
77,New Norfolk,-42.7826,147.0587,55.76,68,100,3.0,AU,2021-08-05 02:28:12
78,Mahon,39.8885,4.2658,73.96,83,0,6.91,ES,2021-08-05 02:28:12
79,Pauini,-7.7136,-66.9764,74.01,48,7,2.46,BR,2021-08-05 02:28:12
80,Lebu,-37.6167,-73.65,52.48,83,100,18.61,CL,2021-08-05 02:28:12
81,Castro,-24.7911,-50.0119,46.36,97,65,5.99,BR,2021-08-05 02:28:13
82,Bambous Virieux,-20.3428,57.7575,70.05,56,75,11.5,MU,2021-08-05 02:28:13
83,Sao Filipe,14.8961,-24.4956,76.82,89,100,1.97,CV,2021-08-05 02:24:54
84,Lompoc,34.6391,-120.4579,72.21,81,1,9.22,US,2021-08-05 02:25:02
85,Atuona,-9.8,-139.0333,77.79,65,1,9.84,PF,2021-08-05 02:28:13
86,Gualaquiza,-3.4,-78.55,59.7,83,52,1.7,EC,2021-08-05 02:28:13
87,Lata,40.1629,-8.3327,62.82,98,16,1.41,PT,2021-08-05 02:28:14
88,Berbera,10.4396,45.0143,89.91,39,46,18.03,SO,2021-08-05 02:28:14
89,Goryachegorsk,55.4053,88.9154,62.1,86,53,2.48,RU,2021-08-05 02:28:14
90,Bethel,41.3712,-73.414,68.36,86,90,3.44,US,2021-08-05 02:28:14
91,Allapalli,19.4167,80.0667,78.3,90,100,4.83,IN,2021-08-05 02:28:15
92,Tabuk,17.4189,121.4443,87.76,64,59,4.61,PH,2021-08-05 02:28:15
93,Roma,43.2128,-75.4557,69.66,83,1,0.0,US,2021-08-05 02:23:45
94,Alcala,4.6747,-75.7825,72.61,64,20,8.05,CO,2021-08-05 02:28:15
95,Dekar,-21.5333,21.9333,55.13,38,0,9.1,BW,2021-08-05 02:28:15
96,Nikolskoye,59.7035,30.7861,52.81,77,33,2.46,RU,2021-08-05 02:28:16
97,Grand Gaube,-20.0064,57.6608,70.2,73,75,5.99,MU,2021-08-05 02:28:16
98,Fortuna Foothills,32.6578,-114.4119,114.89,19,1,5.01,US,2021-08-05 02:26:12
99,Cape Town,-33.9258,18.4232,58.87,93,40,5.01,ZA,2021-08-05 02:23:18
100,Faya,18.3851,42.4509,62.71,72,70,4.85,SA,2021-08-05 02:28:16
101,Hithadhoo,-0.6,73.0833,81.55,76,100,8.19,MV,2021-08-05 02:24:18
102,Zhangjiakou,40.81,114.8794,78.08,39,74,4.79,CN,2021-08-05 02:28:16
103,Puerto Ayora,-0.7393,-90.3518,71.55,83,47,5.99,EC,2021-08-05 02:28:17
104,Mareeba,-17.0,145.4333,77.43,34,91,6.08,AU,2021-08-05 02:28:17
105,Smirnykh,49.75,142.8333,54.21,99,100,5.57,RU,2021-08-05 02:28:17
106,Molteno,-31.3968,26.3625,47.39,46,24,8.08,ZA,2021-08-05 02:28:18
107,Kieta,-6.2167,155.6333,82.58,82,69,8.21,PG,2021-08-05 02:28:18
108,Kungurtug,50.5994,97.5228,70.63,42,71,1.3,RU,2021-08-05 02:28:18
109,Hami,42.8,93.45,92.89,9,77,6.51,CN,2021-08-05 02:28:18
110,Vestmannaeyjar,63.4427,-20.2734,55.53,85,98,9.82,IS,2021-08-05 02:24:17
111,West Wendover,40.7391,-114.0733,88.81,17,1,4.61,US,2021-08-05 02:28:19
112,Talnakh,69.4865,88.3972,75.99,46,4,3.51,RU,2021-08-05 02:28:19
113,Cidreira,-30.1811,-50.2056,58.91,95,100,9.42,BR,2021-08-05 02:28:19
114,Solnechnyy,50.7214,136.6319,61.16,86,100,2.24,RU,2021-08-05 02:28:19
115,Mana,5.6592,-53.7767,77.76,84,97,4.83,GF,2021-08-05 02:28:19
116,Biak,-0.9131,122.8766,82.13,69,84,5.3,ID,2021-08-05 02:28:20
117,Dikson,73.5069,80.5464,45.61,90,22,2.89,RU,2021-08-05 02:28:20
118,Kaeo,-35.1,173.7833,59.32,92,100,10.42,NZ,2021-08-05 02:28:20
119,Jalu,29.0331,21.5482,85.17,31,0,11.41,LY,2021-08-05 02:28:20
120,Woodward,36.4337,-99.3904,78.73,60,1,4.61,US,2021-08-05 02:28:21
121,Ninohe,40.2724,141.3061,91.4,50,2,4.25,JP,2021-08-05 02:28:21
122,Saldanha,-33.0117,17.9442,50.05,93,25,5.77,ZA,2021-08-05 02:28:21
123,Porto Novo,6.4965,2.6036,75.6,88,100,7.34,BJ,2021-08-05 02:28:21
124,Bitung,1.4451,125.1824,90.45,71,100,12.71,ID,2021-08-05 02:28:22
125,Torbay,47.6666,-52.7314,63.57,73,20,16.11,CA,2021-08-05 02:28:22
126,Esperance,-33.8667,121.9,57.04,73,0,7.36,AU,2021-08-05 02:28:22
127,Tallahassee,30.4383,-84.2807,80.53,89,90,3.44,US,2021-08-05 02:27:52
128,Morondava,-20.2833,44.2833,72.55,63,100,3.94,MG,2021-08-05 02:28:22
129,Odweyne,9.4092,45.064,70.86,52,4,12.59,SO,2021-08-05 02:28:22
130,Kaitangata,-46.2817,169.8464,51.93,73,100,13.15,NZ,2021-08-05 02:28:23
131,Verkhnevilyuysk,63.4453,120.3167,78.48,35,4,4.68,RU,2021-08-05 02:28:23
132,Pathalgaon,22.5667,83.4667,75.2,86,100,2.91,IN,2021-08-05 02:28:23
133,Abha,18.2164,42.5053,62.42,100,78,0.0,SA,2021-08-05 02:28:23
